date,pc,logon
01/18/2010 10:38:53,3835,1
01/18/2010 11:14:06,3835,0
01/18/2010 11:18:52,4031,1
01/18/2010 11:37:44,4031,0
01/18/2010 11:51:32,1045,1
01/18/2010 12:08:42,2216,1
01/18/2010 12:13:16,1045,0
01/18/2010 12:41:43,2216,0
01/18/2010 17:58:45,1734,1
01/18/2010 18:32:22,1734,0
01/18/2010 18:36:59,3883,0
01/18/2010 21:23:31,3424,1
01/18/2010 21:39:06,3424,0
01/19/2010 02:56:14,0281,1
01/19/2010 03:04:00,0281,0
01/19/2010 03:37:31,3866,1
01/19/2010 04:07:07,3866,0
01/19/2010 07:20:36,3883,1
01/19/2010 08:00:58,0248,1
01/19/2010 08:02:31,0248,0
01/19/2010 13:03:32,3084,1
01/19/2010 13:09:13,3084,0
01/19/2010 16:39:48,4296,1
01/19/2010 16:42:56,1506,1
01/19/2010 16:50:52,4296,0
01/19/2010 16:56:29,1506,0
01/19/2010 18:25:22,3883,0
01/19/2010 21:19:24,1160,1
01/19/2010 21:24:45,1160,0
01/20/2010 03:27:10,3644,1
01/20/2010 03:32:10,1532,1
01/20/2010 04:01:15,3644,0
01/20/2010 04:01:37,1532,0
01/20/2010 07:25:08,3883,1
01/20/2010 08:22:37,1263,1
01/20/2010 08:56:16,1263,0
01/20/2010 11:13:51,1046,1
01/20/2010 11:43:34,1046,0
01/20/2010 13:22:37,4361,1
01/20/2010 13:51:57,4361,0
01/20/2010 18:38:54,3883,0
01/20/2010 20:31:00,0290,1
01/20/2010 21:05:58,0290,0
01/20/2010 21:57:08,2198,1
01/20/2010 22:06:02,2198,0
01/21/2010 05:23:14,0939,1
01/21/2010 05:31:18,2899,1
01/21/2010 06:06:00,0939,0
01/21/2010 06:14:12,2899,0
01/21/2010 07:34:57,3883,1
01/21/2010 09:31:17,4069,1
01/21/2010 09:47:02,4069,0
01/21/2010 10:03:26,1665,1
01/21/2010 10:06:25,1665,0
01/21/2010 10:22:40,2474,1
01/21/2010 10:29:23,2474,0
01/21/2010 14:36:08,1782,1
01/21/2010 15:20:25,1782,0
01/21/2010 16:07:26,2888,1
01/21/2010 16:14:50,2888,0
01/21/2010 18:38:18,3883,0
01/21/2010 21:32:58,3385,1
01/21/2010 22:17:43,3385,0
01/22/2010 00:50:03,2848,1
01/22/2010 01:30:27,2848,0
01/22/2010 01:45:27,0030,1
01/22/2010 02:09:06,0030,0
01/22/2010 04:26:21,3465,1
01/22/2010 04:33:52,3465,0
01/22/2010 06:34:41,4079,1
01/22/2010 06:42:44,4079,0
01/22/2010 07:30:10,3883,1
01/22/2010 07:33:15,1243,1
01/22/2010 07:43:52,1243,0
01/22/2010 11:14:34,4656,1
01/22/2010 11:16:24,4656,0
01/22/2010 11:21:32,4002,1
01/22/2010 11:45:42,4002,0
01/22/2010 12:26:45,2338,1
01/22/2010 12:30:50,2338,0
01/22/2010 15:45:20,2525,1
01/22/2010 16:27:19,2525,0
01/22/2010 18:20:45,3607,1
01/22/2010 18:36:24,3883,0
01/22/2010 18:49:17,3607,0
01/25/2010 04:36:12,2469,1
01/25/2010 04:48:24,2469,0
01/25/2010 05:43:08,0131,1
01/25/2010 06:20:03,0131,0
01/25/2010 07:22:00,3883,1
01/25/2010 08:30:04,2370,1
01/25/2010 08:38:46,2370,0
01/25/2010 09:33:12,0080,1
01/25/2010 09:35:52,2033,1
01/25/2010 09:40:23,1857,1
01/25/2010 09:41:46,1857,0
01/25/2010 09:56:55,2033,0
01/25/2010 09:59:24,0080,0
01/25/2010 10:27:25,3344,1
01/25/2010 10:34:58,1655,1
01/25/2010 10:39:50,1655,0
01/25/2010 10:54:12,3344,0
01/25/2010 14:14:54,3850,1
01/25/2010 14:32:34,3850,0
01/25/2010 18:39:15,3883,0
01/25/2010 23:03:02,3392,1
01/25/2010 23:18:32,3392,0
01/26/2010 07:37:46,3883,1
01/26/2010 11:33:14,3643,1
01/26/2010 11:54:21,3643,0
01/26/2010 11:56:30,2783,1
01/26/2010 12:04:50,2783,0
01/26/2010 13:30:23,2099,1
01/26/2010 13:57:16,2099,0
01/26/2010 14:29:14,1940,1
01/26/2010 14:47:50,1940,0
01/26/2010 17:04:17,2735,1
01/26/2010 17:13:00,2735,0
01/26/2010 18:31:22,3883,0
01/26/2010 19:45:24,2511,1
01/26/2010 20:22:37,2511,0
01/27/2010 05:19:45,1638,1
01/27/2010 05:32:39,1638,0
01/27/2010 07:36:47,3883,1
01/27/2010 12:07:18,1218,1
01/27/2010 12:59:46,1218,0
01/27/2010 14:19:16,0826,1
01/27/2010 14:51:46,0826,0
01/27/2010 18:32:20,3883,0
01/27/2010 21:25:34,1306,1
01/27/2010 22:07:02,1306,0
01/28/2010 04:46:11,2454,1
01/28/2010 05:16:38,2454,0
01/28/2010 05:24:08,0434,1
01/28/2010 05:33:22,0434,0
01/28/2010 06:28:36,2082,1
01/28/2010 07:10:43,2082,0
01/28/2010 07:28:03,3883,1
01/28/2010 10:28:05,0718,1
01/28/2010 10:28:47,0718,0
01/28/2010 14:26:02,4081,1
01/28/2010 15:09:48,4081,0
01/28/2010 18:38:55,3883,0
01/28/2010 23:47:53,4582,1
01/29/2010 00:00:20,4582,0
01/29/2010 01:16:19,4072,1
01/29/2010 01:43:43,4072,0
01/29/2010 03:49:11,3221,1
01/29/2010 03:59:33,3221,0
01/29/2010 04:08:17,4580,1
01/29/2010 04:26:06,4580,0
01/29/2010 06:25:48,0912,1
01/29/2010 07:03:02,0912,0
01/29/2010 07:29:45,3883,1
01/29/2010 11:49:15,1535,1
01/29/2010 12:12:09,1535,0
01/29/2010 14:54:26,4132,1
01/29/2010 15:30:16,4132,0
01/29/2010 18:35:44,3883,0
01/29/2010 20:54:05,1792,1
01/29/2010 21:28:33,1792,0
01/29/2010 22:47:27,0408,1
01/29/2010 22:52:15,0408,0
02/01/2010 00:25:31,4499,1
02/01/2010 00:58:38,4499,0
02/01/2010 05:03:36,3850,1
02/01/2010 05:21:25,3850,0
02/01/2010 07:35:28,3883,1
02/01/2010 09:49:52,4828,1
02/01/2010 09:53:03,4828,0
02/01/2010 12:35:08,0533,1
02/01/2010 12:40:02,0533,0
02/01/2010 18:28:42,3883,0
02/01/2010 18:57:28,0131,1
02/01/2010 18:58:54,0131,0
02/01/2010 20:04:07,3457,1
02/01/2010 20:46:02,3457,0
02/01/2010 22:43:03,2643,1
02/01/2010 23:27:12,2643,0
02/02/2010 04:50:02,3643,1
02/02/2010 05:25:20,3643,0
02/02/2010 07:35:42,3883,1
02/02/2010 07:43:40,0124,1
02/02/2010 08:18:44,0124,0
02/02/2010 08:45:54,0386,1
02/02/2010 08:59:29,0386,0
02/02/2010 12:22:13,3541,1
02/02/2010 12:22:14,3541,0
02/02/2010 12:24:43,3393,1
02/02/2010 12:30:22,3393,0
02/02/2010 13:38:27,4442,1
02/02/2010 14:03:00,4442,0
02/02/2010 18:29:58,3883,0
02/02/2010 19:38:37,3584,1
02/02/2010 19:48:00,3584,0
02/02/2010 20:07:06,3490,1
02/02/2010 20:19:35,3490,0
02/03/2010 00:59:05,0111,1
02/03/2010 01:30:26,0111,0
02/03/2010 07:30:19,3883,1
02/03/2010 09:17:39,4744,1
02/03/2010 09:28:32,4744,0
02/03/2010 12:59:42,4272,1
02/03/2010 13:35:56,4272,0
02/03/2010 18:38:19,3883,0
02/03/2010 19:52:59,2202,1
02/03/2010 20:28:43,2202,0
02/04/2010 07:35:20,3883,1
02/04/2010 08:58:09,3384,1
02/04/2010 09:16:54,3384,0
02/04/2010 13:19:07,4584,1
02/04/2010 13:57:13,4584,0
02/04/2010 18:25:05,3883,0
02/04/2010 18:50:07,0700,1
02/04/2010 19:04:54,0700,0
02/04/2010 19:29:03,2454,1
02/04/2010 19:52:29,2454,0
02/05/2010 03:52:06,3141,1
02/05/2010 04:34:27,3141,0
02/05/2010 07:20:39,3883,1
02/05/2010 11:20:58,3128,1
02/05/2010 11:42:10,3128,0
02/05/2010 11:49:54,0793,1
02/05/2010 12:06:45,1381,1
02/05/2010 12:09:33,1381,0
02/05/2010 12:31:10,0793,0
02/05/2010 18:27:02,3883,0
02/05/2010 19:40:57,2338,1
02/05/2010 20:12:47,2338,0
02/05/2010 22:01:00,4423,1
02/05/2010 22:28:16,4423,0
02/08/2010 01:09:49,2368,1
02/08/2010 01:19:34,2368,0
02/08/2010 03:28:57,0827,1
02/08/2010 03:45:56,0827,0
02/08/2010 07:16:19,4853,1
02/08/2010 07:34:03,3883,1
02/08/2010 07:41:41,4853,0
02/08/2010 10:05:40,4075,1
02/08/2010 10:19:41,4075,0
02/08/2010 15:34:40,3171,1
02/08/2010 16:19:26,3171,0
02/08/2010 18:39:58,3883,0
02/08/2010 23:27:42,4296,1
02/09/2010 00:11:41,4296,0
02/09/2010 02:01:08,3879,1
02/09/2010 02:05:30,3879,0
02/09/2010 03:18:19,2784,1
02/09/2010 03:36:13,2784,0
02/09/2010 07:24:31,3883,1
02/09/2010 09:33:30,2282,1
02/09/2010 10:08:51,2282,0
02/09/2010 10:32:48,0015,1
02/09/2010 11:23:45,0015,0
02/09/2010 12:17:28,0016,1
02/09/2010 12:51:40,0016,0
02/09/2010 18:37:41,3883,0
02/10/2010 05:35:39,2027,1
02/10/2010 05:38:28,2027,0
02/10/2010 05:53:16,1513,1
02/10/2010 06:33:24,1513,0
02/10/2010 07:34:54,3883,1
02/10/2010 08:27:22,3069,1
02/10/2010 09:01:56,3069,0
02/10/2010 12:09:34,1158,1
02/10/2010 12:29:14,1158,0
02/10/2010 14:13:15,2285,1
02/10/2010 14:47:06,0553,1
02/10/2010 15:11:50,2285,0
02/10/2010 15:30:34,0553,0
02/10/2010 15:47:15,3117,1
02/10/2010 15:52:39,3136,1
02/10/2010 16:06:00,3117,0
02/10/2010 16:13:15,3136,0
02/10/2010 18:32:29,3883,0
02/10/2010 22:02:42,0823,1
02/10/2010 22:29:20,0823,0
02/10/2010 23:02:28,3391,1
02/10/2010 23:43:26,3391,0
02/11/2010 00:33:43,1898,1
02/11/2010 01:01:08,1898,0
02/11/2010 07:24:30,3883,1
02/11/2010 18:35:27,3883,0
02/11/2010 23:47:52,1320,1
02/12/2010 00:09:26,1320,0
02/12/2010 01:54:18,0381,1
02/12/2010 02:16:04,0381,0
02/12/2010 04:25:18,0149,1
02/12/2010 04:26:55,0149,0
02/12/2010 07:34:07,3883,1
02/12/2010 10:00:30,3459,1
02/12/2010 10:23:59,3459,0
02/12/2010 15:22:23,0002,1
02/12/2010 15:26:43,2359,1
02/12/2010 15:31:04,0002,0
02/12/2010 15:40:21,1669,1
02/12/2010 16:04:46,1669,0
02/12/2010 16:11:19,2359,0
02/12/2010 16:34:10,4750,1
02/12/2010 16:35:08,1592,1
02/12/2010 16:44:41,4750,0
02/12/2010 17:03:35,1592,0
02/12/2010 18:28:29,3883,0
02/12/2010 23:29:15,4962,1
02/13/2010 00:01:32,4962,0
02/15/2010 00:27:08,0124,1
02/15/2010 00:30:11,0124,0
02/15/2010 02:44:00,0209,1
02/15/2010 02:50:58,0209,0
02/15/2010 04:00:53,3185,1
02/15/2010 04:35:20,3185,0
02/15/2010 07:34:14,3883,1
02/15/2010 11:29:04,3668,1
02/15/2010 12:04:31,3668,0
02/15/2010 12:26:46,4005,1
02/15/2010 12:30:44,4005,0
02/15/2010 14:56:37,4664,1
02/15/2010 15:32:05,4664,0
02/15/2010 16:52:07,3490,1
02/15/2010 17:32:03,3490,0
02/15/2010 18:36:33,3883,0
02/15/2010 21:45:28,1479,1
02/15/2010 21:53:59,1479,0
02/16/2010 00:55:26,0504,1
02/16/2010 01:15:56,0504,0
02/16/2010 02:26:49,0926,1
02/16/2010 02:29:15,0926,0
02/16/2010 03:39:54,1560,1
02/16/2010 04:01:13,1560,0
02/16/2010 07:37:50,3883,1
02/16/2010 18:35:50,3883,0
02/16/2010 21:07:02,2783,1
02/16/2010 21:31:43,3067,1
02/16/2010 21:42:32,2783,0
02/16/2010 22:05:01,3067,0
02/17/2010 07:38:48,3883,1
02/17/2010 09:19:14,0831,1
02/17/2010 09:47:48,0831,0
02/17/2010 11:47:32,1431,1
02/17/2010 12:11:03,1431,0
02/17/2010 14:24:07,3870,1
02/17/2010 14:40:06,3870,0
02/17/2010 15:12:16,0338,1
02/17/2010 15:13:07,4646,1
02/17/2010 15:20:24,4646,0
02/17/2010 15:48:05,0811,1
02/17/2010 15:48:28,0338,0
02/17/2010 16:06:14,0811,0
02/17/2010 18:25:36,3883,0
02/17/2010 20:57:30,2053,1
02/17/2010 21:01:29,2053,0
02/17/2010 22:21:14,0823,1
02/17/2010 23:03:11,0823,0
02/18/2010 04:50:47,3348,1
02/18/2010 04:56:02,3348,0
02/18/2010 06:19:43,4584,1
02/18/2010 06:54:29,4584,0
02/18/2010 07:36:03,3883,1
02/18/2010 07:51:41,0434,1
02/18/2010 08:25:36,0434,0
02/18/2010 13:18:24,2662,1
02/18/2010 13:26:48,2662,0
02/18/2010 14:01:57,3885,1
02/18/2010 14:18:14,3885,0
02/18/2010 15:24:30,4642,1
02/18/2010 15:55:37,4642,0
02/18/2010 18:31:01,3883,0
02/18/2010 20:06:39,4463,1
02/18/2010 20:36:55,4463,0
02/18/2010 21:49:47,2468,1
02/18/2010 22:04:13,2468,0
02/19/2010 01:49:02,4580,1
02/19/2010 02:17:14,4580,0
02/19/2010 05:30:06,4228,1
02/19/2010 05:41:23,4228,0
02/19/2010 05:44:31,3080,1
02/19/2010 06:11:48,3080,0
02/19/2010 07:37:29,3883,1
02/19/2010 14:47:42,4359,1
02/19/2010 15:24:47,4359,0
02/19/2010 16:23:46,1430,1
02/19/2010 16:35:19,1430,0
02/19/2010 18:28:27,3883,0
02/19/2010 18:30:59,1537,1
02/19/2010 18:55:35,1537,0
02/19/2010 19:15:33,3736,1
02/19/2010 19:58:54,3736,0
02/19/2010 20:27:53,3990,1
02/19/2010 20:29:47,0201,1
02/19/2010 20:44:01,3990,0
02/19/2010 21:02:39,0201,0
02/22/2010 07:21:05,3883,1
02/22/2010 08:03:56,3249,1
02/22/2010 08:43:28,3249,0
02/22/2010 09:35:35,2436,1
02/22/2010 10:04:45,2436,0
02/22/2010 11:44:06,0354,1
02/22/2010 11:58:19,0354,0
02/22/2010 14:27:15,4474,1
02/22/2010 14:54:52,4474,0
02/22/2010 16:04:45,3713,1
02/22/2010 16:21:22,3713,0
02/22/2010 18:37:43,3883,0
02/22/2010 23:12:36,1302,1
02/22/2010 23:55:33,1302,0
02/23/2010 03:20:17,0502,1
02/23/2010 03:45:40,0502,0
02/23/2010 05:35:17,3644,1
02/23/2010 06:15:32,3644,0
02/23/2010 06:46:23,1699,1
02/23/2010 07:20:18,3883,1
02/23/2010 07:23:26,1699,0
02/23/2010 09:51:11,1467,1
02/23/2010 10:08:05,1467,0
02/23/2010 11:02:12,0458,1
02/23/2010 11:09:15,0120,1
02/23/2010 11:16:46,0120,0
02/23/2010 11:42:10,0458,0
02/23/2010 12:47:44,1500,1
02/23/2010 13:24:16,1500,0
02/23/2010 14:26:47,0376,1
02/23/2010 15:04:12,0376,0
02/23/2010 15:35:25,1817,1
02/23/2010 15:42:12,1817,0
02/23/2010 18:38:31,3883,0
02/23/2010 18:43:11,3879,1
02/23/2010 18:49:38,3879,0
02/23/2010 18:54:22,3494,1
02/23/2010 19:05:03,3494,0
02/24/2010 01:22:32,4872,1
02/24/2010 01:52:45,4872,0
02/24/2010 07:20:00,3883,1
02/24/2010 08:08:04,3107,1
02/24/2010 08:44:56,3107,0
02/24/2010 10:32:56,0019,1
02/24/2010 10:39:13,0019,0
02/24/2010 10:51:27,4334,1
02/24/2010 11:20:21,4334,0
02/24/2010 13:39:08,1605,1
02/24/2010 13:47:07,1605,0
02/24/2010 14:29:49,2544,1
02/24/2010 14:32:14,2544,0
02/24/2010 18:29:54,3883,0
02/25/2010 01:06:27,3993,1
02/25/2010 01:33:23,3993,0
02/25/2010 04:59:21,2454,1
02/25/2010 05:25:44,2454,0
02/25/2010 05:26:10,3405,1
02/25/2010 05:49:01,3405,0
02/25/2010 07:39:51,3883,1
02/25/2010 08:29:04,4873,1
02/25/2010 08:42:12,4873,0
02/25/2010 10:05:04,4584,1
02/25/2010 10:20:30,4584,0
02/25/2010 13:39:54,2707,1
02/25/2010 13:52:47,2707,0
02/25/2010 18:35:49,3883,0
02/26/2010 04:22:07,0799,1
02/26/2010 04:24:21,0799,0
02/26/2010 07:36:02,3883,1
02/26/2010 08:59:55,1139,1
02/26/2010 09:07:09,1139,0
02/26/2010 11:07:16,2333,1
02/26/2010 11:22:26,2333,0
02/26/2010 18:29:14,3883,0
02/26/2010 19:31:54,0650,1
02/26/2010 19:40:42,0650,0
02/26/2010 22:18:52,3319,1
02/26/2010 22:21:58,3319,0
03/01/2010 02:22:34,3415,1
03/01/2010 03:03:26,3415,0
03/01/2010 05:52:23,2127,1
03/01/2010 06:03:05,2127,0
03/01/2010 07:17:29,4047,1
03/01/2010 07:19:22,4047,0
03/01/2010 07:36:23,3883,1
03/01/2010 10:13:04,2023,1
03/01/2010 11:03:45,2023,0
03/01/2010 14:05:24,0834,1
03/01/2010 14:31:07,0834,0
03/01/2010 18:28:11,3883,0
03/01/2010 22:30:36,0238,1
03/01/2010 22:36:17,0238,0
03/02/2010 04:03:42,4482,1
03/02/2010 04:25:41,4482,0
03/02/2010 07:05:08,0850,1
03/02/2010 07:09:02,0850,0
03/02/2010 07:21:24,3883,1
03/02/2010 08:32:44,1401,1
03/02/2010 08:34:58,1401,0
03/02/2010 11:57:28,3664,1
03/02/2010 12:31:51,3664,0
03/02/2010 18:31:24,3883,0
03/02/2010 20:04:48,1902,1
03/02/2010 20:15:20,1902,0
03/03/2010 02:04:49,3330,1
03/03/2010 02:38:20,3330,0
03/03/2010 07:31:22,3883,1
03/03/2010 08:27:50,3117,1
03/03/2010 08:50:29,3117,0
03/03/2010 18:15:50,3069,1
03/03/2010 18:26:28,3883,0
03/03/2010 18:45:17,3069,0
03/04/2010 00:15:17,1355,1
03/04/2010 00:19:32,1355,0
03/04/2010 07:34:28,3883,1
03/04/2010 12:40:06,0845,1
03/04/2010 13:07:12,0845,0
03/04/2010 16:43:36,3588,1
03/04/2010 17:27:24,3588,0
03/04/2010 18:37:59,3883,0
03/05/2010 02:47:05,3284,1
03/05/2010 03:00:51,3284,0
03/05/2010 07:36:49,3883,1
03/05/2010 11:00:06,2542,1
03/05/2010 11:14:22,2542,0
03/05/2010 11:59:01,4479,1
03/05/2010 12:41:23,4479,0
03/05/2010 18:30:49,3883,0
03/05/2010 19:05:25,4923,1
03/05/2010 19:43:15,4923,0
03/08/2010 00:19:50,0292,1
03/08/2010 00:32:32,0292,0
03/08/2010 01:13:13,1345,1
03/08/2010 01:14:22,3965,1
03/08/2010 01:30:42,3965,0
03/08/2010 01:47:24,1345,0
03/08/2010 03:51:44,1703,1
03/08/2010 04:24:04,1703,0
03/08/2010 05:14:39,1469,1
03/08/2010 05:17:17,1469,0
03/08/2010 05:22:18,4381,1
03/08/2010 05:37:31,4381,0
03/08/2010 07:24:53,3883,1
03/08/2010 10:14:46,3992,1
03/08/2010 10:33:27,3992,0
03/08/2010 11:42:13,2222,1
03/08/2010 11:54:15,2222,0
03/08/2010 14:30:42,2367,1
03/08/2010 14:40:14,2367,0
03/08/2010 17:58:15,1069,1
03/08/2010 18:04:33,1069,0
03/08/2010 18:31:58,3883,0
03/08/2010 22:13:50,2615,1
03/08/2010 22:23:04,2615,0
03/09/2010 00:14:19,4398,1
03/09/2010 00:51:34,4398,0
03/09/2010 01:17:27,1751,1
03/09/2010 01:24:30,1751,0
03/09/2010 01:57:40,2645,1
03/09/2010 02:01:01,2645,0
03/09/2010 07:31:38,3883,1
03/09/2010 14:18:27,2784,1
03/09/2010 14:57:29,2784,0
03/09/2010 15:25:32,3712,1
03/09/2010 15:46:29,3712,0
03/09/2010 18:27:20,3883,0
03/10/2010 03:08:07,4690,1
03/10/2010 03:11:04,4690,0
03/10/2010 05:31:02,3599,1
03/10/2010 06:01:05,3599,0
03/10/2010 07:24:28,3883,1
03/10/2010 08:14:00,0658,1
03/10/2010 09:09:40,0658,0
03/10/2010 12:05:25,0577,1
03/10/2010 12:18:59,0577,0
03/10/2010 18:25:51,3883,0
03/10/2010 20:11:05,0473,1
03/10/2010 20:24:21,0473,0
03/10/2010 20:42:25,0718,1
03/10/2010 20:49:52,0718,0
03/10/2010 22:02:39,1381,1
03/10/2010 22:04:55,1381,0
03/11/2010 04:15:32,2662,1
03/11/2010 04:45:21,2242,1
03/11/2010 04:51:11,2662,0
03/11/2010 05:03:01,2242,0
03/11/2010 06:46:38,0323,1
03/11/2010 07:06:31,0323,0
03/11/2010 07:32:18,3883,1
03/11/2010 08:48:04,4132,1
03/11/2010 09:32:32,4132,0
03/11/2010 14:15:01,2481,1
03/11/2010 14:18:30,2481,0
03/11/2010 14:21:35,4092,1
03/11/2010 15:01:28,4092,0
03/11/2010 18:27:07,3883,0
03/11/2010 23:31:15,3405,1
03/12/2010 00:16:09,3405,0
03/12/2010 07:25:57,3883,1
03/12/2010 08:38:07,2393,1
03/12/2010 09:09:57,2393,0
03/12/2010 14:27:07,1028,1
03/12/2010 14:45:42,1028,0
03/12/2010 15:50:05,1246,1
03/12/2010 16:06:07,1246,0
03/12/2010 18:37:00,3883,0
03/12/2010 20:28:45,2580,1
03/12/2010 21:03:30,0856,1
03/12/2010 21:10:42,2580,0
03/12/2010 21:44:14,0856,0
