day,mon,yr,hr,min,sec,pc,logon
15,3,2010,14,47,23,1689,0
16,3,2010,7,40,29,1689,1
16,3,2010,12,27,17,1689,1
16,3,2010,14,43,17,1689,0
17,3,2010,7,43,29,1689,1
17,3,2010,13,31,39,1689,1
17,3,2010,14,44,56,1689,0
18,3,2010,7,54,28,1689,1
18,3,2010,14,44,15,1689,0
19,3,2010,7,51,46,1689,1
19,3,2010,11,57,48,1689,1
19,3,2010,14,47,41,1689,0
22,3,2010,7,41,46,1689,1
22,3,2010,14,50,46,1689,0
23,3,2010,7,37,13,1689,1
23,3,2010,12,26,15,1689,1
23,3,2010,14,43,6,1689,0
24,3,2010,7,50,2,1689,1
24,3,2010,11,27,42,1689,1
24,3,2010,14,49,0,1689,0
25,3,2010,7,48,34,1689,1
25,3,2010,11,48,15,1689,1
25,3,2010,14,51,14,1689,0
26,3,2010,7,50,53,1689,1
26,3,2010,13,39,4,1689,1
26,3,2010,14,53,20,1689,0
29,3,2010,7,41,55,1689,1
29,3,2010,11,22,17,1689,1
29,3,2010,14,53,38,1689,0
30,3,2010,7,48,48,1689,1
30,3,2010,14,47,52,1689,0
31,3,2010,7,53,0,1689,1
31,3,2010,12,30,14,1689,1
31,3,2010,14,48,40,1689,0
1,4,2010,7,39,46,1689,1
1,4,2010,14,47,17,1689,0
5,4,2010,7,51,18,1689,1
5,4,2010,13,18,41,1689,1
5,4,2010,14,48,22,1689,0
6,4,2010,7,54,37,1689,1
6,4,2010,12,25,58,1689,1
6,4,2010,14,44,55,1689,0
7,4,2010,7,41,41,1689,1
7,4,2010,12,42,22,1689,1
7,4,2010,14,48,22,1689,0
8,4,2010,7,51,38,1689,1
8,4,2010,12,23,19,1689,1
8,4,2010,14,43,7,1689,0
9,4,2010,7,43,57,1689,1
9,4,2010,11,53,43,1689,1
9,4,2010,14,48,14,1689,0
12,4,2010,7,39,21,1689,1
12,4,2010,11,38,30,1689,1
12,4,2010,14,54,53,1689,0
13,4,2010,7,43,40,1689,1
13,4,2010,11,34,45,1689,1
13,4,2010,14,43,4,1689,0
14,4,2010,7,39,52,1689,1
14,4,2010,13,5,51,1689,1
14,4,2010,14,42,38,1689,0
15,4,2010,7,41,54,1689,1
15,4,2010,13,14,34,1689,1
15,4,2010,14,46,36,1689,0
16,4,2010,7,54,21,1689,1
16,4,2010,12,27,53,1689,1
16,4,2010,14,52,18,1689,0
19,4,2010,7,43,34,1689,1
19,4,2010,12,29,12,1689,1
19,4,2010,14,45,31,1689,0
20,4,2010,7,36,55,1689,1
20,4,2010,11,30,17,1689,1
20,4,2010,14,42,59,1689,0
21,4,2010,7,38,42,1689,1
21,4,2010,14,40,5,1689,0
22,4,2010,7,39,21,1689,1
22,4,2010,14,47,27,1689,0
23,4,2010,7,46,16,1689,1
23,4,2010,12,14,32,1689,1
23,4,2010,14,46,2,1689,0
26,4,2010,7,49,28,1689,1
26,4,2010,11,49,54,1689,1
26,4,2010,14,46,26,1689,0
27,4,2010,7,38,29,1689,1
27,4,2010,12,48,17,1689,1
27,4,2010,14,42,14,1689,0
28,4,2010,7,39,45,1689,1
28,4,2010,12,7,30,1689,1
28,4,2010,14,42,31,1689,0
29,4,2010,7,36,9,1689,1
29,4,2010,11,40,15,1689,1
29,4,2010,14,50,19,1689,0
30,4,2010,7,39,49,1689,1
30,4,2010,11,52,44,1689,1
30,4,2010,14,49,46,1689,0
3,5,2010,7,48,20,1689,1
3,5,2010,12,14,49,1689,1
3,5,2010,14,48,22,1689,0
4,5,2010,7,50,5,1689,1
4,5,2010,14,42,49,1689,0
5,5,2010,7,38,35,1689,1
5,5,2010,14,54,13,1689,0
6,5,2010,7,46,8,1689,1
6,5,2010,11,41,5,1689,1
6,5,2010,14,45,16,1689,0
7,5,2010,7,44,2,1689,1
7,5,2010,12,37,6,1689,1
7,5,2010,14,45,1,1689,0
10,5,2010,7,47,25,1689,1
10,5,2010,13,43,12,1689,1
10,5,2010,14,50,47,1689,0
11,5,2010,7,39,50,1689,1
11,5,2010,11,51,26,1689,1
11,5,2010,14,48,16,1689,0
12,5,2010,7,36,13,1689,1
12,5,2010,11,15,49,1689,1
12,5,2010,14,48,15,1689,0
13,5,2010,7,54,50,1689,1
13,5,2010,12,20,49,1689,1
13,5,2010,14,49,43,1689,0
14,5,2010,7,48,33,1689,1
14,5,2010,12,21,55,1689,1
14,5,2010,14,43,11,1689,0
17,5,2010,7,40,34,1689,1
17,5,2010,14,54,19,1689,0
18,5,2010,7,38,33,1689,1
18,5,2010,9,45,36,4971,1
18,5,2010,9,58,47,4971,0
18,5,2010,13,21,27,1689,1
18,5,2010,14,53,17,1689,0
19,5,2010,7,54,45,1689,1
19,5,2010,13,24,3,1689,1
19,5,2010,14,51,17,1689,0
20,5,2010,7,36,43,1689,1
20,5,2010,12,47,18,1689,1
20,5,2010,14,44,12,1689,0
21,5,2010,7,40,51,1689,1
21,5,2010,13,26,3,1689,1
21,5,2010,14,45,31,1689,0
24,5,2010,7,53,57,1689,1
24,5,2010,11,34,22,1689,1
24,5,2010,14,46,43,1689,0
25,5,2010,7,47,52,1689,1
25,5,2010,11,19,56,1689,1
25,5,2010,14,45,51,1689,0
26,5,2010,7,43,53,1689,1
26,5,2010,14,42,38,1689,0
27,5,2010,7,41,50,1689,1
27,5,2010,8,5,26,3678,1
27,5,2010,8,33,18,3678,0
27,5,2010,12,56,7,1689,1
27,5,2010,14,51,23,1689,0
28,5,2010,7,51,19,1689,1
28,5,2010,14,53,13,1689,0
1,6,2010,7,53,10,1689,1
1,6,2010,11,30,27,1689,1
1,6,2010,14,44,38,1689,0
2,6,2010,7,42,13,1689,1
2,6,2010,11,35,48,1689,1
2,6,2010,14,52,39,1689,0
3,6,2010,7,44,51,1689,1
3,6,2010,11,38,12,1689,1
3,6,2010,14,51,7,1689,0
4,6,2010,7,47,22,1689,1
4,6,2010,11,48,34,1689,1
4,6,2010,14,40,47,1689,0
7,6,2010,7,42,46,1689,1
7,6,2010,11,52,55,1689,1
7,6,2010,14,41,34,1689,0
8,6,2010,7,42,17,1689,1
8,6,2010,14,52,17,1689,0
9,6,2010,7,35,11,1689,1
9,6,2010,9,35,49,1944,1
9,6,2010,9,51,53,1944,0
9,6,2010,12,42,3,1689,1
9,6,2010,14,42,11,1689,0
10,6,2010,7,46,18,1689,1
10,6,2010,14,44,3,1689,0
11,6,2010,7,53,34,1689,1
11,6,2010,12,58,11,1689,1
11,6,2010,14,52,27,1689,0
14,6,2010,7,45,51,1689,1
14,6,2010,11,37,36,1689,1
14,6,2010,14,47,38,1689,0
15,6,2010,7,54,38,1689,1
15,6,2010,11,35,10,1689,1
15,6,2010,14,51,35,1689,0
16,6,2010,7,50,18,1689,1
16,6,2010,12,41,7,1689,1
16,6,2010,14,52,25,1689,0
17,6,2010,7,52,47,1689,1
17,6,2010,12,59,18,1689,1
17,6,2010,14,45,37,1689,0
18,6,2010,7,35,55,1689,1
18,6,2010,13,9,51,1689,1
18,6,2010,14,45,24,1689,0
21,6,2010,7,38,23,1689,1
21,6,2010,13,1,59,1689,1
21,6,2010,14,50,26,1689,0
22,6,2010,7,38,59,1689,1
22,6,2010,14,40,52,1689,0
23,6,2010,7,46,58,1689,1
23,6,2010,12,21,9,1689,1
23,6,2010,14,54,8,1689,0
24,6,2010,7,41,42,1689,1
24,6,2010,12,28,46,1689,1
24,6,2010,14,53,17,1689,0
25,6,2010,7,47,2,1689,1
25,6,2010,13,23,51,1689,1
25,6,2010,14,50,20,1689,0
28,6,2010,7,40,42,1689,1
28,6,2010,11,51,33,1689,1
28,6,2010,14,53,30,1689,0
29,6,2010,7,54,59,1689,1
29,6,2010,12,38,55,1689,1
29,6,2010,14,42,34,1689,0
30,6,2010,7,48,2,1689,1
30,6,2010,13,30,6,1689,1
30,6,2010,14,45,41,1689,0
1,7,2010,7,45,20,1689,1
1,7,2010,14,48,47,1689,0
2,7,2010,7,43,42,1689,1
2,7,2010,13,39,51,1689,1
2,7,2010,14,48,31,1689,0
6,7,2010,7,35,40,1689,1
6,7,2010,13,8,17,1689,1
6,7,2010,14,47,51,1689,0
7,7,2010,7,47,19,1689,1
7,7,2010,12,53,29,1689,1
7,7,2010,14,51,55,1689,0
8,7,2010,7,37,39,1689,1
8,7,2010,8,22,14,0493,1
8,7,2010,8,50,25,0493,0
8,7,2010,11,16,55,1689,1
8,7,2010,14,46,19,1689,0
9,7,2010,7,41,36,1689,1
9,7,2010,13,32,32,1689,1
9,7,2010,14,45,50,1689,0
12,7,2010,7,41,20,1689,1
12,7,2010,12,7,6,1689,1
12,7,2010,14,52,11,1689,0
13,7,2010,7,50,59,1689,1
13,7,2010,14,44,56,1689,0
14,7,2010,7,45,12,1689,1
14,7,2010,14,46,45,1689,0
15,7,2010,7,50,53,1689,1
15,7,2010,12,54,58,1689,1
15,7,2010,14,53,54,1689,0
16,7,2010,7,48,32,1689,1
16,7,2010,14,44,36,1689,0
19,7,2010,7,46,49,1689,1
19,7,2010,11,32,11,1689,1
19,7,2010,14,53,30,1689,0
20,7,2010,7,50,37,1689,1
20,7,2010,12,47,13,1689,1
20,7,2010,14,43,10,1689,0
21,7,2010,7,39,19,1689,1
21,7,2010,11,23,12,1689,1
21,7,2010,14,54,57,1689,0
22,7,2010,7,48,30,1689,1
22,7,2010,12,22,39,1689,1
22,7,2010,14,49,28,1689,0
23,7,2010,7,54,52,1689,1
23,7,2010,12,0,43,2370,1
23,7,2010,12,42,37,2370,0
23,7,2010,13,0,51,1689,1
23,7,2010,14,49,6,1689,0
26,7,2010,7,49,8,1689,1
26,7,2010,14,44,4,1689,0
27,7,2010,7,52,48,1689,1
27,7,2010,14,51,5,1689,0
28,7,2010,7,53,25,1689,1
28,7,2010,11,37,13,1689,1
28,7,2010,14,44,31,1689,0
29,7,2010,7,49,32,1689,1
29,7,2010,13,46,57,1689,1
29,7,2010,14,51,2,1689,0
30,7,2010,7,38,42,1689,1
30,7,2010,11,40,25,1689,1
30,7,2010,14,51,34,1689,0
2,8,2010,7,43,45,1689,1
2,8,2010,13,41,16,1689,1
2,8,2010,14,43,57,1689,0
3,8,2010,7,40,7,1689,1
3,8,2010,13,15,57,1689,1
3,8,2010,14,48,45,1689,0
4,8,2010,7,46,44,1689,1
4,8,2010,12,13,7,1689,1
4,8,2010,14,42,45,1689,0
5,8,2010,7,38,6,1689,1
5,8,2010,13,15,4,1689,1
5,8,2010,14,51,39,1689,0
6,8,2010,7,36,34,1689,1
6,8,2010,14,41,7,1689,0
9,8,2010,7,39,17,1689,1
9,8,2010,12,15,41,1689,1
9,8,2010,14,44,53,1689,0
10,8,2010,7,43,42,1689,1
10,8,2010,9,11,57,4214,1
10,8,2010,9,58,27,4214,0
10,8,2010,13,0,23,1689,1
10,8,2010,14,44,44,1689,0
11,8,2010,7,35,30,1689,1
11,8,2010,12,14,24,1689,1
11,8,2010,14,47,19,1689,0
12,8,2010,7,54,3,1689,1
12,8,2010,12,28,40,1689,1
12,8,2010,14,52,12,1689,0
13,8,2010,7,46,40,1689,1
13,8,2010,12,39,37,1689,1
13,8,2010,14,45,31,1689,0
16,8,2010,7,37,3,1689,1
16,8,2010,12,39,18,1689,1
16,8,2010,14,47,56,1689,0
17,8,2010,7,44,23,1689,1
17,8,2010,14,43,13,1689,0
18,8,2010,7,48,36,1689,1
18,8,2010,12,12,40,1689,1
18,8,2010,14,40,19,1689,0
19,8,2010,7,38,46,1689,1
19,8,2010,14,49,27,1689,0
20,8,2010,7,43,50,1689,1
20,8,2010,13,15,50,1689,1
20,8,2010,14,49,21,1689,0
23,8,2010,7,37,34,1689,1
23,8,2010,13,14,0,1689,1
23,8,2010,14,47,2,1689,0
24,8,2010,7,36,7,1689,1
24,8,2010,13,17,43,1689,1
24,8,2010,14,53,28,1689,0
25,8,2010,7,40,26,1689,1
25,8,2010,12,15,56,1689,1
25,8,2010,14,41,21,1689,0
26,8,2010,7,43,52,1689,1
26,8,2010,12,36,4,1689,1
26,8,2010,14,54,49,1689,0
27,8,2010,7,40,25,1689,1
27,8,2010,13,6,44,1689,1
27,8,2010,14,41,14,1689,0
30,8,2010,7,35,47,1689,1
30,8,2010,12,58,52,1689,1
30,8,2010,14,48,19,1689,0
31,8,2010,7,36,45,1689,1
31,8,2010,14,48,15,1689,0
1,9,2010,7,45,50,1689,1
1,9,2010,12,22,44,1689,1
1,9,2010,14,41,59,1689,0
2,9,2010,7,48,48,1689,1
2,9,2010,14,43,1,1689,0
3,9,2010,7,51,47,1689,1
3,9,2010,13,19,31,1689,1
3,9,2010,14,41,35,1689,0
7,9,2010,7,49,14,1689,1
7,9,2010,12,26,37,1689,1
7,9,2010,14,54,49,1689,0
8,9,2010,7,42,55,1689,1
8,9,2010,11,16,40,1689,1
8,9,2010,14,45,49,1689,0
9,9,2010,7,40,45,1689,1
9,9,2010,11,27,47,1689,1
9,9,2010,14,45,24,1689,0
10,9,2010,7,37,8,1689,1
10,9,2010,14,48,44,1689,0
13,9,2010,7,51,52,1689,1
13,9,2010,13,28,4,1689,1
13,9,2010,14,48,12,1689,0
14,9,2010,7,37,17,1689,1
14,9,2010,13,3,53,1689,1
14,9,2010,14,42,23,1689,0
15,9,2010,7,49,1,1689,1
15,9,2010,13,17,1,1689,1
15,9,2010,14,47,45,1689,0
16,9,2010,7,40,3,1689,1
16,9,2010,11,13,33,1689,1
16,9,2010,14,48,35,1689,0
17,9,2010,7,49,20,1689,1
17,9,2010,12,31,52,1689,1
17,9,2010,14,43,39,1689,0
20,9,2010,7,43,41,1689,1
20,9,2010,12,21,31,1689,1
20,9,2010,14,48,42,1689,0
21,9,2010,7,51,36,1689,1
21,9,2010,14,45,25,1689,0
22,9,2010,7,52,34,1689,1
22,9,2010,13,10,54,1689,1
22,9,2010,14,41,30,1689,0
23,9,2010,7,53,24,1689,1
23,9,2010,14,47,36,1689,0
24,9,2010,7,53,16,1689,1
24,9,2010,8,22,7,1276,1
24,9,2010,9,7,29,1276,0
24,9,2010,12,41,25,1689,1
24,9,2010,14,43,52,1689,0
27,9,2010,7,52,31,1689,1
27,9,2010,12,33,24,1689,1
27,9,2010,14,40,28,1689,0
28,9,2010,7,53,14,1689,1
28,9,2010,13,34,28,1689,1
28,9,2010,14,47,15,1689,0
29,9,2010,7,46,7,1689,1
29,9,2010,13,2,15,1689,1
29,9,2010,14,52,22,1689,0
30,9,2010,7,47,23,1689,1
30,9,2010,13,35,0,1689,1
30,9,2010,14,42,27,1689,0
1,10,2010,7,41,57,1689,1
1,10,2010,13,0,17,1689,1
1,10,2010,14,47,52,1689,0
4,10,2010,7,46,51,1689,1
4,10,2010,14,50,27,1689,0
5,10,2010,7,52,45,1689,1
5,10,2010,13,30,12,1689,1
5,10,2010,14,42,5,1689,0
6,10,2010,7,37,0,1689,1
6,10,2010,14,52,31,1689,0
7,10,2010,7,36,54,1689,1
7,10,2010,11,47,49,1689,1
7,10,2010,14,53,1,1689,0
8,10,2010,7,40,55,1689,1
8,10,2010,13,5,31,1689,1
8,10,2010,14,40,28,1689,0
11,10,2010,7,42,18,1689,1
11,10,2010,9,57,58,2502,1
11,10,2010,10,41,37,2502,0
11,10,2010,13,1,50,1689,1
11,10,2010,14,42,8,1689,0
12,10,2010,7,41,51,1689,1
12,10,2010,12,14,37,1689,1
12,10,2010,14,51,40,1689,0
13,10,2010,7,38,0,1689,1
13,10,2010,12,49,57,1689,1
13,10,2010,14,47,32,1689,0
14,10,2010,7,43,25,1689,1
14,10,2010,11,17,59,1689,1
14,10,2010,14,45,34,1689,0
15,10,2010,7,47,11,1689,1
15,10,2010,13,6,14,1689,1
15,10,2010,14,49,11,1689,0
18,10,2010,7,37,14,1689,1
18,10,2010,12,57,12,1689,1
18,10,2010,14,48,21,1689,0
19,10,2010,7,45,45,1689,1
19,10,2010,13,26,50,1689,1
19,10,2010,14,54,38,1689,0
20,10,2010,7,41,23,1689,1
20,10,2010,11,15,44,1689,1
20,10,2010,14,50,20,1689,0
21,10,2010,7,46,49,1689,1
21,10,2010,11,44,43,1689,1
21,10,2010,14,43,15,1689,0
22,10,2010,7,45,50,1689,1
22,10,2010,13,38,28,1689,1
22,10,2010,14,47,59,1689,0
25,10,2010,7,44,25,1689,1
25,10,2010,11,38,54,1689,1
25,10,2010,14,50,12,1689,0
26,10,2010,7,38,8,1689,1
26,10,2010,12,16,34,1689,1
26,10,2010,14,47,39,1689,0
27,10,2010,7,36,25,1689,1
27,10,2010,14,48,56,1689,0
28,10,2010,7,54,20,1689,1
28,10,2010,11,45,18,1689,1
28,10,2010,14,41,58,1689,0
29,10,2010,7,48,37,1689,1
29,10,2010,14,45,26,1689,0
1,11,2010,7,42,20,1689,1
1,11,2010,13,4,48,1689,1
1,11,2010,14,41,50,1689,0
2,11,2010,7,54,22,1689,1
2,11,2010,12,2,10,1689,1
2,11,2010,14,40,30,1689,0
3,11,2010,7,45,20,1689,1
3,11,2010,13,9,30,1689,1
3,11,2010,14,52,37,1689,0
4,11,2010,7,38,1,1689,1
4,11,2010,11,21,2,1689,1
4,11,2010,14,52,22,1689,0
5,11,2010,7,35,27,1689,1
5,11,2010,12,33,30,1689,1
5,11,2010,14,40,9,1689,0
8,11,2010,7,49,29,1689,1
8,11,2010,12,6,34,1689,1
8,11,2010,14,54,25,1689,0
9,11,2010,7,52,22,1689,1
9,11,2010,14,53,39,1689,0
10,11,2010,7,41,47,1689,1
10,11,2010,11,46,43,1689,1
10,11,2010,14,48,34,1689,0
11,11,2010,7,37,40,1689,1
11,11,2010,14,47,8,1689,0
12,11,2010,7,47,28,1689,1
12,11,2010,11,43,12,1689,1
12,11,2010,14,51,41,1689,0
15,11,2010,7,45,58,1689,1
15,11,2010,11,18,35,1689,1
15,11,2010,14,44,3,1689,0
16,11,2010,7,53,21,1689,1
16,11,2010,11,54,21,1689,1
16,11,2010,14,40,47,1689,0
17,11,2010,7,35,55,1689,1
17,11,2010,12,1,3,1689,1
17,11,2010,14,44,12,1689,0
18,11,2010,7,47,52,1689,1
18,11,2010,13,30,12,1689,1
18,11,2010,14,41,5,1689,0
19,11,2010,7,35,50,1689,1
19,11,2010,14,41,25,1689,0
22,11,2010,7,52,42,1689,1
22,11,2010,13,40,24,1689,1
22,11,2010,14,52,55,1689,0
23,11,2010,7,46,17,1689,1
23,11,2010,14,40,56,1689,0
24,11,2010,7,38,3,1689,1
24,11,2010,12,37,0,1689,1
24,11,2010,14,42,54,1689,0
29,11,2010,7,41,56,1689,1
29,11,2010,11,17,28,1689,1
29,11,2010,14,45,13,1689,0
30,11,2010,7,44,29,1689,1
30,11,2010,14,43,4,1689,0
1,12,2010,7,51,4,1689,1
1,12,2010,12,30,14,1689,1
1,12,2010,14,45,10,1689,0
2,12,2010,7,42,23,1689,1
2,12,2010,14,53,14,1689,0
3,12,2010,7,40,25,1689,1
3,12,2010,11,16,56,1689,1
3,12,2010,14,42,35,1689,0
6,12,2010,7,50,25,1689,1
6,12,2010,12,54,4,1689,1
6,12,2010,14,54,6,1689,0
7,12,2010,7,51,20,1689,1
7,12,2010,12,28,44,1689,1
7,12,2010,14,48,9,1689,0
8,12,2010,7,35,1,1689,1
8,12,2010,11,17,42,1689,1
8,12,2010,14,54,48,1689,0
9,12,2010,7,39,23,1689,1
9,12,2010,13,21,34,1689,1
9,12,2010,14,42,19,1689,0
10,12,2010,7,40,38,1689,1
10,12,2010,11,44,14,1689,1
10,12,2010,14,40,45,1689,0
13,12,2010,7,51,50,1689,1
13,12,2010,14,44,15,1689,0
14,12,2010,7,46,13,1689,1
14,12,2010,11,35,34,1689,1
14,12,2010,13,7,37,4098,1
14,12,2010,13,31,28,4098,0
14,12,2010,14,49,21,1689,0
15,12,2010,7,39,13,1689,1
15,12,2010,14,44,10,1689,0
16,12,2010,7,41,24,1689,1
16,12,2010,12,18,47,1689,1
16,12,2010,14,44,11,1689,0
17,12,2010,7,46,47,1689,1
17,12,2010,11,47,47,1689,1
17,12,2010,14,53,49,1689,0
20,12,2010,7,37,51,1689,1
20,12,2010,12,47,29,1689,1
20,12,2010,14,45,53,1689,0
21,12,2010,7,37,55,1689,1
21,12,2010,12,33,20,1689,1
21,12,2010,14,48,28,1689,0
22,12,2010,7,36,30,1689,1
22,12,2010,12,2,58,1689,1
22,12,2010,14,51,52,1689,0
27,12,2010,7,41,5,1689,1
27,12,2010,13,29,37,1689,1
27,12,2010,14,48,57,1689,0
28,12,2010,7,53,1,1689,1
28,12,2010,14,44,36,1689,0
29,12,2010,7,38,55,1689,1
29,12,2010,11,16,7,1689,1
29,12,2010,14,51,14,1689,0
30,12,2010,7,51,8,1689,1
30,12,2010,11,9,44,3105,1
30,12,2010,12,4,40,3105,0
30,12,2010,12,18,3,1689,1
30,12,2010,14,51,43,1689,0
3,1,2011,7,43,2,1689,1
3,1,2011,13,9,24,1689,1
3,1,2011,14,46,44,1689,0
4,1,2011,7,43,27,1689,1
4,1,2011,11,39,50,1689,1
4,1,2011,14,50,39,1689,0
5,1,2011,7,40,19,1689,1
5,1,2011,11,40,35,1689,1
5,1,2011,14,51,37,1689,0
6,1,2011,7,38,24,1689,1
6,1,2011,13,18,4,1689,1
6,1,2011,14,53,46,1689,0
7,1,2011,7,49,39,1689,1
7,1,2011,14,42,35,1689,0
10,1,2011,7,37,26,1689,1
10,1,2011,12,18,46,1689,1
10,1,2011,14,52,23,1689,0
11,1,2011,7,44,11,1689,1
11,1,2011,12,4,56,1689,1
11,1,2011,14,43,44,1689,0
12,1,2011,7,48,41,1689,1
12,1,2011,10,52,37,3298,1
12,1,2011,11,26,20,1689,1
12,1,2011,11,37,46,3298,0
12,1,2011,14,40,3,1689,0
13,1,2011,7,51,39,1689,1
13,1,2011,12,4,8,1689,1
13,1,2011,14,54,9,1689,0
14,1,2011,7,45,6,1689,1
14,1,2011,11,47,24,1689,1
14,1,2011,14,45,3,1689,0
17,1,2011,7,48,4,1689,1
17,1,2011,11,16,26,3678,1
17,1,2011,11,25,28,1689,1
17,1,2011,11,31,37,3678,0
17,1,2011,14,40,27,1689,0
18,1,2011,7,37,26,1689,1
18,1,2011,14,52,38,1689,0
19,1,2011,7,40,29,1689,1
19,1,2011,12,23,19,1689,1
19,1,2011,14,45,37,1689,0
20,1,2011,7,49,42,1689,1
20,1,2011,14,42,3,1689,0
21,1,2011,7,54,24,1689,1
21,1,2011,12,39,2,1689,1
21,1,2011,14,54,54,1689,0
